#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
JH806590.2	1	2418393	21275	1285329	53.1481	1.28852	35.6	2.4
JH806591.1	1	882083	7695	484056	54.8765	1.28149	35.7	0.131
JH806592.1	1	835911	7687	470154	56.2445	1.34998	35.6	0.711
JH806593.1	1	389631	3464	212198	54.4613	1.3073	35.6	0.49
JH806594.1	1	390496	3669	225098	57.6441	1.3858	35.6	0.494
JH806595.1	1	444074	4185	250269	56.3575	1.38377	35.6	2.39
JH806596.1	1	413927	3726	234896	56.7482	1.32481	35.6	0.415
JH806597.1	1	1045622	8776	557450	53.3128	1.23502	35.7	0.316
JH720448.1	1	70483	1666	60688	86.103	3.46167	35.6	13.8
JH806598.1	1	899320	7227	448793	49.9036	1.17463	35.6	1.94
JH806599.1	1	1214327	9700	603832	49.7257	1.17083	35.6	2.12
JH806600.2	1	6530008	54997	3487155	53.402	1.23927	35.7	0.764
JH806601.1	1	1389764	10865	699178	50.3091	1.14873	35.6	0.563
JH806602.1	1	713266	7127	398656	55.8916	1.47167	35.7	3.62
JH806573.1	1	24680	915	23682	95.9562	5.44254	35.8	49.7
JH806574.2	1	22982	460	17697	77.0037	2.82978	35.7	8.91
JH806575.1	1	47409	1156	41207	86.9181	3.55975	35.7	37.6
JH806580.1	1	93149	2284	81028	86.9875	3.55622	35.5	33.4
JH806583.1	1	167183	7672	143519	85.8455	6.23823	35.7	6.52
JH806584.1	1	70876	6180	61374	86.5935	10.982	35.8	22
JH806585.1	1	73505	27475	70046	95.2942	33.5434	34.9	11.5
JH806603.1	1	182949	1380	91768	50.1604	1.10968	35.7	0.441
JH159150.3	1	3110903	27362	1719222	55.2644	1.2907	35.7	1.2
GL582969.1	1	251823	7692	196434	78.0048	3.36078	35.6	2.29
JH806577.1	1	22394	581	19424	86.7375	3.64687	35.6	28.6
JH806578.1	1	169437	3677	141417	83.4629	3.17386	35.7	8.47
JH806579.1	1	211307	4953	184629	87.3748	3.43738	35.7	14.4
JH159137.1	1	191409	3438	152509	79.677	2.64788	35.7	7.85
KE332502.1	1	341712	147908	317451	92.9002	50.854	35.7	15.7
KB021645.1	1	1523386	31365	1221274	80.1684	3.02225	35.7	11.5
KB663607.2	1	334922	5936	268228	80.0867	2.59093	35.6	0.168
KE332500.1	1	228602	3535	170839	74.7321	2.27109	35.6	0.929
KE332496.1	1	503215	11060	388870	77.2771	3.22407	35.6	2.14
GL383558.1	1	457041	9420	380575	83.2693	3.01671	35.6	24.7
GL582976.1	1	412535	8006	344109	83.4133	2.83306	35.6	1.3
GL383523.1	1	171362	2984	135647	79.1582	2.54795	35.6	2.3
KE332498.1	1	149443	3433	121310	81.1748	3.31667	35.6	0.314
GL949743.1	1	608579	12165	482405	79.2674	2.93818	35.7	5.06
KE332506.1	1	307252	5997	251458	81.841	2.86815	35.7	2.14
GL383536.1	1	203777	3344	153869	75.5085	2.38937	35.6	3.16
JH591184.1	1	462282	8723	380162	82.236	2.78003	35.6	0.0528
JH636061.1	1	186059	3849	154498	83.0371	2.99658	35.6	3.39
JH806576.1	1	273386	5127	214685	78.5282	2.75611	35.7	0.554
GL383524.1	1	78793	2056	69898	88.7109	3.83596	35.6	43.5
GL582973.1	1	321004	6473	261608	81.4968	2.9564	35.7	20.9
JH159138.1	1	108875	1951	89150	81.8829	2.63092	35.7	0.172
KB021648.1	1	469972	3847	248791	52.9374	1.19514	35.6	0.308
JH159139.1	1	120441	2144	97695	81.1144	2.6268	35.7	0.152
JH159140.1	1	546435	10346	448638	82.1027	2.79409	35.8	0.019
JH591182.1	1	196262	3768	161781	82.4311	2.82918	35.7	0.105
JH159132.1	1	100694	1578	77046	76.515	2.28519	35.6	0.228
JH720449.1	1	212298	3812	172491	81.2495	2.63	35.6	0.722
JH591183.1	1	177920	3178	145318	81.676	2.63871	35.7	0.0368
JH720444.2	1	273128	4636	220068	80.5732	2.48697	35.6	1.17
JH159141.2	1	240775	4115	188679	78.3632	2.5186	35.7	0.0656
KB663604.1	1	478993	10560	406920	84.9532	3.23992	35.7	22.7
JH720455.1	1	65034	500	33803	51.9774	1.13245	35.7	0.718
KB021646.2	1	211416	3847	170743	80.7616	2.66958	35.7	0.242
JH159142.2	1	326647	5460	258807	79.2314	2.46082	35.6	0.105
JH159143.1	1	191402	3690	157495	82.2849	2.82615	35.7	0.0607
JH806582.2	1	342635	6376	244954	71.4912	2.68371	35.5	5.41
JH159135.2	1	102251	1663	77274	75.5729	2.39201	35.8	0.569
KE332499.1	1	274521	6585	236114	86.0094	3.52044	35.6	2.06
GL877877.2	1	284527	3566	179277	63.0088	1.80512	35.4	0.257
JH806586.1	1	43543	1239	36734	84.3626	3.97752	35.4	2.68
GL582979.2	1	179899	4261	158138	87.9038	3.45267	35.9	20.7
KB663605.1	1	155926	3280	133394	85.5496	3.09295	35.7	8.72
GL582975.1	1	34662	840	29416	84.8653	3.52464	35.5	18.5
GL949744.1	1	276448	5436	227028	82.1232	2.88843	35.7	0.735
GL383543.1	1	392792	5753	288274	73.391	2.15496	35.6	0.0209
GL877871.1	1	389939	9977	327232	83.9188	3.71395	35.7	19.5
GL582967.1	1	248177	4112	185423	74.714	2.4413	35.7	4.02
JH159149.1	1	245473	5273	197616	80.5042	3.14232	35.6	6.39
GL582977.2	1	580393	8269	410322	70.6973	2.08734	35.6	0.0131
GL582970.1	1	354970	7127	288307	81.2201	2.94414	35.6	0.709
GL383559.2	1	338640	7397	283267	83.6484	3.19898	35.6	0.0995
JH159144.1	1	388340	6662	307142	79.091	2.51351	35.6	0.323
JH591186.1	1	376223	7920	303547	80.6827	3.08194	35.7	18.3
GL383560.1	1	534288	17646	460477	86.1852	4.86323	35.7	4.97
GL339450.1	1	330164	6549	269343	81.5785	2.89679	35.7	7.26
GL582971.1	1	1284284	24363	1025536	79.8527	2.80178	35.7	12.2
GL582974.1	1	163298	3207	130398	79.8528	2.87076	35.7	0
JH806581.1	1	872115	17496	701782	80.469	2.9486	35.7	4.05
JH636060.1	1	437946	7581	349782	79.8688	2.5508	35.7	0.436
JH591185.1	1	167437	2778	131533	78.5567	2.45286	35.7	0.054
JH159145.1	1	194862	3673	160146	82.1843	2.76466	35.7	0.306
GL877873.1	1	168465	3418	139546	82.8338	2.94908	35.5	1.11
KB663608.1	1	283551	5118	221222	78.0184	2.65903	35.6	13.1
GL582972.1	1	327774	6708	273528	83.4502	2.97286	35.6	10.1
KB663603.1	1	599580	11163	490685	81.8381	2.74623	35.7	0.000627
KE332495.1	1	263861	4605	212276	80.4499	2.55698	35.6	0.229
JH636059.1	1	295379	6257	245489	83.1098	3.12091	35.6	0.00144
JH720445.1	1	170033	3357	140239	82.4775	2.90361	35.7	3.05
KE332501.1	1	1020827	16719	789019	77.2921	2.41612	35.6	1.3
GL383561.2	1	644425	136206	560191	86.9288	19.5289	35.2	12.5
GL949741.1	1	151551	3282	129438	85.4089	3.17995	35.6	6.78
GL383562.1	1	45551	805	36454	80.029	2.52488	35.4	3.57
GL383525.1	1	65063	1343	52331	80.4313	3.04253	35.7	36.2
GL383544.1	1	128378	2633	109367	85.1914	3.02113	35.8	4.53
GL383548.1	1	165247	3585	137331	83.1065	3.08755	35.4	4.9
GL383537.1	1	62435	1752	55895	89.5251	4.10175	35.8	40
GL383538.1	1	49281	1389	44744	90.7936	4.12826	35.8	28.4
GL383516.1	1	49316	933	40666	82.4601	2.75541	35.5	9.91
GL383517.1	1	49352	929	39660	80.3615	2.76935	35.7	15.1
GL383545.1	1	179254	2084	97975	54.6571	1.70627	35.7	0.0278
GL383546.1	1	309802	4940	227800	73.5308	2.3489	35.7	0.488
GL383547.1	1	154407	2270	110924	71.8387	2.16872	35.6	5.13
GL877875.1	1	167313	3395	133544	79.8169	2.98065	35.7	9.94
GL383549.1	1	120804	2142	94391	78.1357	2.61164	35.7	2.5
GL383550.1	1	169178	2901	127796	75.5394	2.52901	35.7	7.74
GL383551.1	1	184319	3123	141874	76.972	2.49342	35.7	1.83
GL877876.1	1	408271	5063	267828	65.6005	1.83141	35.7	5.31
GL383552.1	1	138655	1942	96616	69.6809	2.06223	35.7	0.308
GL383553.2	1	152874	2764	121435	79.4347	2.66252	35.6	0.82
GL383554.1	1	296527	8283	253756	85.576	4.11147	35.6	4.04
GL383555.1	1	388773	8418	335296	86.2447	3.19681	35.8	4.28
GL383556.1	1	192462	3370	148417	77.115	2.58864	35.8	4.09
GL383557.1	1	89672	1556	70916	79.0838	2.52768	35.5	6.3
GL000258.1	1	1680828	17773	848223	50.4646	1.54744	35.7	1.81
GL383563.2	1	270261	3667	179906	66.5675	1.96149	35.4	1.38
GL383564.1	1	133151	2544	108479	81.4707	2.82301	35.8	0.642
GL383565.1	1	223995	4022	179278	80.0366	2.63496	35.6	0.251
GL383566.1	1	90219	1654	72601	80.472	2.69001	35.6	1.35
JH159146.1	1	278131	5092	227021	81.6238	2.69963	35.6	3.77
JH159147.1	1	70345	994	50871	72.3164	2.08558	35.6	7.8
JH159148.1	1	88070	1052	59044	67.0421	1.76723	35.6	1.89
GL383567.1	1	289831	5031	228802	78.9432	2.55549	35.7	2.98
GL383568.1	1	104552	1890	78652	75.2276	2.66924	35.7	12.2
GL383569.1	1	167950	2939	128517	76.521	2.56501	35.7	2.12
GL383570.1	1	164789	2909	126356	76.6774	2.60136	35.7	2.93
GL383571.1	1	198278	2444	111190	56.0778	1.82033	35.6	12.5
GL383572.1	1	159547	2791	121959	76.4408	2.55882	35.6	0.56
GL949746.1	1	987716	5673	375986	38.0662	0.839623	35.6	2.5
GL949747.1	1	729519	3101	216291	29.6484	0.620302	35.6	3.43
GL949748.1	1	1064303	1669	129879	12.2032	0.227986	35.6	0
GL949749.1	1	1091840	1593	123337	11.2963	0.212497	35.6	0.122
GL949750.1	1	1066389	1615	124962	11.7182	0.220413	35.5	1.57
GL949751.1	1	1002682	1726	133842	13.3484	0.250483	35.6	0
GL949752.1	1	987100	6833	431582	43.7222	1.01233	35.6	4.76
GL949753.1	1	796478	3091	223690	28.0849	0.567009	35.6	0.376
GL383573.1	1	385657	5930	287064	74.4351	2.26	35.6	5.99
GL383574.1	1	155864	2778	123445	79.2005	2.61649	35.6	5.5
GL383575.2	1	170222	2660	124314	73.0305	2.28512	35.6	2.4
GL383576.1	1	188024	3038	144221	76.7035	2.37295	35.7	3.39
GL383518.1	1	182439	2795	135847	74.4616	2.24063	35.5	0.209
GL383519.1	1	110268	1656	81918	74.2899	2.20427	35.6	0.194
GL383520.1	1	366579	5691	278713	76.0308	2.28281	35.6	2.13
GL383577.1	1	128385	2574	104261	81.2096	2.95535	35.7	2.51
GL383578.1	1	63917	1245	52068	81.4619	2.87412	35.6	20.8
GL383579.1	1	201198	2889	142670	70.9102	2.10844	35.6	0.746
GL383580.1	1	74652	1380	58195	77.955	2.60379	35.4	2.91
GL383581.1	1	116690	2143	92834	79.5561	2.69018	35.6	9.23
GL383582.2	1	162811	2664	122629	75.3198	2.39924	35.6	3.05
GL383583.1	1	96924	1764	78325	80.8107	2.65898	35.5	1.72
KB663609.1	1	74013	1156	54264	73.3168	2.30007	35.8	2.37
GL383521.1	1	143390	2559	112850	78.7014	2.63059	35.6	0.651
GL383522.1	1	123821	2539	102576	82.8422	3.02816	35.7	15.5
GL582966.2	1	96131	1917	78773	81.9434	2.82309	35.6	0.278
JH636055.1	1	173151	3173	137675	79.5115	2.70772	35.7	1.11
GL383526.1	1	180671	3180	144513	79.9868	2.59516	35.6	7.6
GL000257.1	1	590426	8615	415649	70.3982	2.14995	35.6	2.6
GL383527.1	1	164536	2899	129357	78.6193	2.59801	35.7	8.32
GL383528.1	1	376187	5073	257186	68.3665	1.98835	35.6	0.0546
GL383529.1	1	121345	19983	97363	80.2365	15.3472	34.9	14.4
GL339449.2	1	1612928	30471	1201735	74.5064	2.78074	35.5	3.76
GL383530.1	1	101241	1746	80923	79.9311	2.55664	35.6	9.2
GL383531.1	1	173459	2785	131517	75.8202	2.35968	35.7	5.83
GL383532.1	1	82728	795	41442	50.0943	1.41699	35.6	1.1
GL949742.1	1	226852	3405	165934	73.1464	2.20836	35.6	7.97
GL383533.1	1	124736	2514	102610	82.2617	2.98372	35.8	21
KB021644.1	1	187824	3344	141740	75.4643	2.53571	35.3	1.62
GL000250.1	1	4622290	10035	737663	15.9588	0.31874	35.6	0.211
GL000251.1	1	4795371	30579	1953750	40.7424	0.933767	35.6	4.59
GL000252.1	1	4610396	25300	1679829	36.4357	0.805647	35.6	3.38
GL000253.1	1	4683263	20551	1401418	29.924	0.635519	35.5	1.98
GL000254.1	1	4833398	21991	1494959	30.9298	0.668443	35.6	3.11
GL000255.1	1	4611984	21956	1539470	33.3798	0.697343	35.6	1.79
GL000256.1	1	4928567	21359	1439889	29.2152	0.634546	35.6	3.6
GL383534.2	1	119183	1789	88366	74.1431	2.21699	35.7	0.0738
GL383539.1	1	162988	2753	125505	77.0026	2.48481	35.7	1.49
GL383540.1	1	71551	1233	56968	79.6187	2.54086	35.8	0
GL383541.1	1	171286	5777	142274	83.0622	4.32732	35.3	2.72
GL383542.1	1	60032	627	28014	46.6651	1.5303	35.6	0.0159
GL000191.1	1	106433	2253	89085	83.7005	3.09722	35.5	15.6
GL000192.1	1	547496	10934	439318	80.2413	2.93507	35.7	3.24
GL000193.1	1	189789	12974	175835	92.6476	10.0624	35.8	35.7
GL000194.1	1	191469	11695	179955	93.9865	8.96922	35.7	22.3
GL000195.1	1	182896	20358	181273	99.1126	16.3956	35.7	47.7
GL000196.1	1	38914	461	26160	67.2252	1.74729	35.5	0
GL000197.1	1	37175	843	32812	88.2636	3.32683	35.7	0.896
GL000198.1	1	90085	10500	88674	98.4337	16.4948	35.7	31.3
GL000199.1	1	169874	216340	164148	96.6293	183.942	35.8	7.05
GL000200.1	1	187035	2883	131591	70.3564	2.26667	35.7	0
GL000201.1	1	36148	837	30835	85.3021	3.32262	35.8	3.45
GL000202.1	1	40103	881	33206	82.8018	3.21063	35.7	15.7
GL000203.1	1	37498	1176	31428	83.8125	4.56022	35.7	25
GL000204.1	1	81310	1437	62467	76.8257	2.59375	35.8	9.13
GL000205.1	1	174588	20084	173752	99.5212	16.6781	35.8	45.3
GL000206.1	1	41001	871	34914	85.154	3.05658	35.7	9.88
GL000207.1	1	4262	213	4159	97.5833	6.77076	35.7	50
GL000208.1	1	92689	21214	90781	97.9415	30.6512	35.8	31.1
GL000209.1	1	159169	510	36086	22.6715	0.473968	35.8	0
GL000210.1	1	27682	577	22182	80.1315	3.00694	35.8	9.06
GL000211.1	1	166566	6240	157652	94.6484	5.49999	35.7	42.9
GL000212.1	1	186858	14116	177375	94.925	10.9772	35.8	37
GL000213.1	1	164239	2584	118435	72.1114	2.30786	35.7	13.9
GL000214.1	1	137718	24528	134531	97.6859	26.1896	35.7	32.5
GL000215.1	1	172545	2280	118319	68.5728	1.95103	35.8	2.83
GL000216.1	1	172294	98364	160701	93.2714	54.4977	35.1	12
GL000217.1	1	172149	8190	161434	93.7757	6.94365	35.6	14.3
GL000218.1	1	161147	13448	158839	98.5678	12.2942	35.8	31
GL000219.1	1	179198	15258	173564	96.856	12.0699	35.8	44.5
GL000220.1	1	161802	453110	161793	99.9944	402.317	35.3	41.1
GL000221.1	1	155397	13720	149928	96.4806	13.01	35.7	8.08
GL000222.1	1	186861	9418	166833	89.2819	7.28894	35.8	9.91
GL000223.1	1	180455	2842	137804	76.3647	2.31034	35.6	2.7
GL000224.1	1	179693	43171	174265	96.9793	35.1591	35.7	25
GL000225.1	1	211173	79661	207980	98.488	49.9967	35.9	26.1
GL000226.1	1	15008	125600	15008	100	1226.3	35.9	2.62
GL000227.1	1	128374	2215	89496	69.7151	2.51869	35.5	3.64
GL000228.1	1	129120	15050	110153	85.3106	16.5609	36	2.21
GL000229.1	1	19913	2488	19873	99.7991	17.68	35.6	45.3
GL000230.1	1	43691	1770	40777	93.3304	5.80898	35.7	36.2
GL000231.1	1	27386	3228	27152	99.1455	17.1284	35.6	44.8
GL000232.1	1	40652	6913	40636	99.9606	24.7535	35.8	46.9
GL000233.1	1	45941	1818	43573	94.8456	5.65858	35.8	34
GL000234.1	1	40531	5890	40519	99.9704	21.1813	35.7	48.1
GL000235.1	1	34474	3787	34017	98.6744	15.7835	35.8	35.9
GL000236.1	1	41934	1000	35519	84.7022	3.48731	35.6	4.53
GL000237.1	1	45867	5226	45690	99.6141	16.5575	35.5	22.8
GL000238.1	1	39939	693	29198	73.1065	2.57027	35.7	12.3
GL000239.1	1	33824	3213	33455	98.9091	13.8277	35.6	3.57
GL000240.1	1	41933	1609	37917	90.4228	5.60237	35.7	24.5
GL000241.1	1	42152	5902	42144	99.981	20.4114	35.7	43.6
GL000242.1	1	43523	906	36856	84.6817	3.05471	35.6	7.56
GL000243.1	1	43341	3880	41459	95.6577	13.1056	35.6	8.17
GL000244.1	1	39929	1229	35104	87.9161	4.53806	35.7	5.7
GL000245.1	1	36651	2576	34597	94.3958	10.3617	35.7	2.19
GL000246.1	1	38154	692	28535	74.789	2.66635	35.7	10.3
GL000247.1	1	36422	1769	34701	95.2748	7.10801	35.8	10.3
GL000248.1	1	39786	759	32901	82.6949	2.79852	35.7	9.21
GL000249.1	1	38502	765	33189	86.2007	2.92668	35.7	1.97
