bin	chromosome	arm	start	end	short	long	frag	ratio	ratio.center
104	chr3	3p	70300000	75299999	8210	55246	63456	0.148608044021287	0.00104861568743289
105	chr3	3p	75300000	80499999	7405	50036	57441	0.147993444719802	0.000434016385948033
106	chr3	3p	80500000	85499999	6850	47910	54760	0.142976414109789	-0.00458301422406451
107	chr3	3p	85500000	90499999	6926	48028	54954	0.144207545598401	-0.00335188273545278
108	chr3	3q	192800000	197899999	9087	57326	66413	0.158514461152008	0.0109550328181541
109	chr3	3q	187800000	192799999	7795	54174	61969	0.143888212057445	-0.00367121627640918
110	chr3	3q	182800000	187799999	8704	55586	64290	0.156586190767459	0.00902676243360573
111	chr3	3q	177800000	182799999	7682	53661	61343	0.143157973202139	-0.00440145513171436
112	chr3	3q	172800000	177799999	7630	51317	58947	0.148683672077479	0.00112424374362549
113	chr3	3q	167800000	172799999	7990	54318	62308	0.147096726683604	-0.000462701650249753
114	chr3	3q	162800000	167799999	7044	48378	55422	0.145603373434206	-0.00195605489964809
115	chr3	3q	157800000	162799999	7615	51741	59356	0.147175354167875	-0.000384074165979104
116	chr3	3q	152800000	157799999	7865	53888	61753	0.145950861045131	-0.00160856728872308
117	chr3	3q	147800000	152799999	7905	51225	59130	0.154319180087848	0.00675975175399401
118	chr3	3q	142800000	147799999	7389	51808	59197	0.142622760963558	-0.00493666737029597
119	chr3	3q	137800000	142799999	8533	56916	65449	0.149922693091574	0.00236326475771984
120	chr3	3q	132800000	137799999	8335	57089	65424	0.146000105099056	-0.00155932323479785
121	chr3	3q	127800000	132799999	8551	55952	64503	0.152827423505862	0.00526799517200846
122	chr3	3q	122800000	127799999	8777	60835	69612	0.144275499301389	-0.00328392903246472
123	chr3	3q	117800000	122799999	8167	53801	61968	0.151800152413524	0.00424072407967019
124	chr3	3q	112800000	117799999	7726	53681	61407	0.143924293511671	-0.00363513482218292
125	chr3	3q	107800000	112799999	7746	53154	60900	0.145727508748166	-0.00183191958568801
126	chr3	3q	102800000	107799999	7485	50719	58204	0.147577830793194	1.84024593401499e-05
127	chr3	3q	97800000	102799999	7966	52606	60572	0.151427593810592	0.00386816547673824
128	chr4	4p	100000	5199999	8531	55850	64381	0.152748433303491	0.00518900496963778
129	chr4	4p	5200000	10599999	9145	65406	74551	0.139818976852277	-0.00774045148157718
130	chr4	4p	10600000	15599999	7785	54911	62696	0.141774872065706	-0.00578455626814739
131	chr4	4p	15600000	20599999	7650	53129	60779	0.143989158463363	-0.00357026987049094
132	chr4	4p	20600000	25599999	7786	55438	63224	0.140445182005123	-0.00711424632873087
133	chr4	4p	25600000	30599999	7522	51170	58692	0.147000195427008	-0.000559232906845702
134	chr4	4p	30600000	35799999	6730	46088	52818	0.146024995660476	-0.00153443267337811
135	chr4	4p	35800000	40899999	8416	54688	63104	0.15389116442364	0.00633173608978585
136	chr4	4p	40900000	45899999	7449	53123	60572	0.140221749524688	-0.00733767880916572
137	chr4	4q	185900000	190899999	8038	55283	63321	0.145397319248232	-0.00216210908562189
138	chr4	4q	180900000	185899999	7857	53585	61442	0.146626854530186	-0.000932573803668041
139	chr4	4q	175900000	180899999	7373	50429	57802	0.146205556326717	-0.00135387200713694
140	chr4	4q	170900000	175899999	7558	52078	59636	0.145128461154422	-0.0024309671794315
141	chr4	4q	165900000	170899999	7531	52296	59827	0.144007189842435	-0.00355223849141834
142	chr4	4q	160900000	165899999	6908	49334	56242	0.140025134795476	-0.00753429353837798
143	chr4	4q	155900000	160899999	7377	50768	58145	0.145308068074378	-0.00225136025947614
144	chr4	4q	150900000	155899999	8298	55775	64073	0.148776333482743	0.00121690514888945
145	chr4	4q	145900000	150899999	7667	54493	62160	0.14069697025306	-0.00686245808079369
146	chr4	4q	140900000	145899999	7759	53971	61730	0.143762390913639	-0.00379703742021492
147	chr4	4q	135900000	140899999	7370	50605	57975	0.145637782827784	-0.00192164550606991
148	chr4	4q	130900000	135899999	6876	46034	52910	0.14936785853934	0.00180843020548677
149	chr4	4q	125900000	130899999	7468	51722	59190	0.144387301341789	-0.00317212699206493
150	chr4	4q	120900000	125899999	7691	53846	61537	0.142833265237901	-0.00472616309595303
151	chr4	4q	115900000	120899999	7141	49492	56633	0.144285945203265	-0.00327348313058853
152	chr4	4q	110900000	115899999	7290	52690	59980	0.13835642436895	-0.00920300396490326
153	chr4	4q	105900000	110899999	7763	53535	61298	0.145007938731671	-0.00255148960218285
154	chr4	4q	100900000	105899999	7618	52159	59777	0.146053413600721	-0.00150601473313283
155	chr4	4q	95900000	100899999	7575	51687	59262	0.146555226652737	-0.00100420168111706
156	chr4	4q	90900000	95899999	7077	50340	57417	0.140584028605483	-0.006975399728371
157	chr4	4q	85900000	90899999	7889	53943	61832	0.146246964388336	-0.00131246394551787
158	chr4	4q	80900000	85899999	8022	54076	62098	0.148346771210888	0.000787342877034664
159	chr4	4q	75900000	80899999	8008	54905	62913	0.145851926054093	-0.00170750227976027
160	chr4	4q	70800000	75899999	7356	50661	58017	0.145200450050335	-0.00235897828351914
161	chr4	4q	65700000	70799999	6272	43932	50204	0.1427660930529	-0.00479333528095377
162	chr4	4q	60700000	65699999	6882	46958	53840	0.146556497295456	-0.00100293103839821
163	chr4	4q	55600000	60699999	7904	53700	61604	0.147188081936685	-0.000371346397168432
164	chr5	5p	100000	5099999	8365	58871	67236	0.142090333101187	-0.00546909523266637
165	chr5	5p	5100000	10099999	7985	56159	64144	0.142185580227568	-0.00537384810628555
166	chr5	5p	10100000	15099999	7787	54389	62176	0.143172332640791	-0.00438709569306237
167	chr5	5p	15100000	20199999	7578	52535	60113	0.14424669268107	-0.00331273565278395
168	chr5	5p	20200000	25299999	6952	48335	55287	0.143829523119892	-0.0037299052139613
169	chr5	5p	25300000	30299999	6676	45619	52295	0.146342532716631	-0.00121689561722249
170	chr5	5p	30300000	35399999	8069	55943	64012	0.14423609745634	-0.00332333087751421
171	chr5	5p	35400000	40399999	8070	54889	62959	0.147023993878555	-0.0005354344552988
172	chr5	5p	40400000	45399999	7628	51997	59625	0.146700771198338	-0.000858657135515362
173	chr5	5q	175500000	180699999	8795	56431	65226	0.155854051850933	0.00829462351707927
174	chr5	5q	170400000	175399999	8829	59352	68181	0.148756570966438	0.0011971426325838
175	chr5	5q	165400000	170399999	8316	58685	67001	0.141705716963449	-0.0058537113704048
176	chr5	5q	160400000	165399999	7050	50029	57079	0.140918267404905	-0.00664116092894856
177	chr5	5q	155400000	160399999	8170	57408	65578	0.142314659977703	-0.00524476835615026
178	chr5	5q	150300000	155399999	8316	56886	65202	0.146187111064234	-0.00137231726961998
179	chr5	5q	145300000	150299999	8335	57235	65570	0.14562767537346	-0.00193175296039341
180	chr5	5q	140300000	145299999	7696	51402	59098	0.149721800708144	0.00216237237428993
181	chr5	5q	135100000	140299999	8579	57312	65891	0.149689419318816	0.00212999098496258
182	chr5	5q	130100000	135099999	8612	57636	66248	0.149420501075717	0.00186107274186284
183	chr5	5q	125100000	130099999	7773	53412	61185	0.145529094585486	-0.00203033374836731
184	chr5	5q	120100000	125099999	7604	53943	61547	0.140963609736203	-0.00659581859765068
185	chr5	5q	115100000	120099999	7603	52842	60445	0.143881760720639	-0.00367766761321484
186	chr5	5q	110100000	115099999	7800	54709	62509	0.142572520060685	-0.004986908273169
187	chr5	5q	105100000	110099999	7494	51688	59182	0.144985296393747	-0.00257413194010661
188	chr5	5q	100100000	105099999	6620	46760	53380	0.141573994867408	-0.00598543346644567
189	chr5	5q	95100000	100099999	7398	50556	57954	0.146332779492048	-0.00122664884180529
190	chr5	5q	90000000	95099999	7311	51149	58460	0.14293534575456	-0.0046240825792935
191	chr5	5q	85000000	89999999	7401	51567	58968	0.143522019896445	-0.00403740843740832
192	chr5	5q	80000000	84999999	7514	52042	59556	0.144383382652473	-0.00317604568138072
193	chr5	5q	75000000	79999999	8390	55379	63769	0.151501471676989	0.00394204334313575
194	chr5	5q	68200000	74999999	7458	50439	57897	0.14786177362755	0.000302345293696382
195	chr5	5q	63200000	68199999	7932	54425	62357	0.145741846577859	-0.00181758175599428
196	chr5	5q	58200000	63199999	7811	54473	62284	0.143392139224937	-0.00416728910891659
197	chr5	5q	53200000	58199999	8216	55502	63718	0.148030701596339	0.000471273262485167
198	chr6	6p	200000	5199999	8984	59613	68597	0.150705383054032	0.00314595472017812
199	chr6	6p	5200000	10199999	8222	55750	63972	0.147479820627803	-7.96077060510325e-05
200	chr6	6p	10200000	15199999	8533	56648	65181	0.150631972885186	0.00307254455133199
201	chr6	6p	15200000	20199999	8402	55765	64167	0.150667981708957	0.00310855337510352
202	chr6	6p	20200000	25199999	8294	54848	63142	0.151217911318553	0.00365848298469937
203	chr6	6p	25200000	30299999	4907	32268	37175	0.152070162389984	0.00451073405613017
204	chr6	6p	30300000	35299999	3581	23122	26703	0.154874145835135	0.00731471750128165
205	chr6	6p	35300000	40299999	8992	58862	67854	0.152764092283646	0.00520466394979277
206	chr6	6p	40300000	45299999	9080	58741	67821	0.154576871350505	0.00701744301665105
207	chr6	6p	45300000	50299999	7865	55187	63052	0.142515447478573	-0.00504398085528085
208	chr6	6p	50300000	55299999	7897	54078	61975	0.146029808794704	-0.00152961953914976
209	chr6	6q	165600000	170999999	8430	59138	67568	0.142547938719605	-0.00501148961424872
210	chr6	6q	160600000	165599999	7955	54934	62889	0.144810135799323	-0.00274929253453088
211	chr6	6q	155400000	160599999	8308	56392	64700	0.147325861824372	-0.000233566509481475
212	chr6	6q	150400000	155399999	8003	55844	63847	0.143309934818423	-0.00424949351543097
213	chr6	6q	145400000	150399999	7926	55187	63113	0.14362078025622	-0.00393864807763394
214	chr6	6q	140400000	145399999	7719	52473	60192	0.147104225030015	-0.000455203303838275
215	chr6	6q	135400000	140399999	8271	54879	63150	0.150713387634614	0.00315395930076062
216	chr6	6q	130400000	135399999	8000	55019	63019	0.145404314873044	-0.00215511346080985
217	chr6	6q	125400000	130399999	7478	53306	60784	0.140284395752823	-0.00727503258103041
218	chr6	6q	120400000	125399999	7427	51852	59279	0.143234590758312	-0.00432483757554158
219	chr6	6q	115400000	120399999	7638	53055	60693	0.143963811139384	-0.00359561719447005
220	chr6	6q	110400000	115399999	7376	50378	57754	0.146413116836714	-0.00114631149713929
221	chr6	6q	105400000	110399999	7644	51110	58754	0.149559773038544	0.0020003447046906
222	chr6	6q	100400000	105399999	7044	50057	57101	0.140719579679166	-0.00683984865468795
223	chr6	6q	95100000	100399999	7661	53855	61516	0.142252344257729	-0.00530708407612462
224	chr6	6q	90100000	95099999	7382	51133	58515	0.144368607357284	-0.00319082097656978
225	chr6	6q	85100000	90099999	7847	53326	61173	0.147151483328958	-0.000407945004895993
226	chr6	6q	80100000	85099999	7465	52281	59746	0.142786098200111	-0.00477333013374279
227	chr6	6q	75100000	80099999	7362	50995	58357	0.144367094813217	-0.00319233352063672
228	chr6	6q	70100000	75099999	7725	53692	61417	0.143876182671534	-0.00368324566231978
229	chr6	6q	65100000	70099999	6793	47017	53810	0.144479656294532	-0.00307977203932194
230	chr7	7p	100000	5199999	9072	60367	69439	0.150280782546756	0.00272135421290196
231	chr7	7p	5200000	10199999	7690	50896	58586	0.151092423766111	0.00353299543225757
232	chr7	7p	10200000	15199999	7243	50937	58180	0.142195260812376	-0.00536416752147764
233	chr7	7p	15200000	20199999	7563	51426	58989	0.147065686617664	-0.000493741716189489
234	chr7	7p	20200000	25199999	8235	55957	64192	0.147166574333864	-0.0003928539999902
235	chr7	7p	25200000	30199999	8400	58374	66774	0.143899681364991	-0.00365974696886245
236	chr7	7p	30200000	35199999	8298	56476	64774	0.146929669240031	-0.000629759093822541
237	chr7	7p	35200000	40199999	8379	55152	63531	0.151925587467363	0.00436615913350921
238	chr7	7p	40200000	45199999	8439	56763	65202	0.148670789070345	0.0011113607364914
239	chr7	7p	45200000	50199999	7946	56493	64439	0.140654594374524	-0.00690483395932945
240	chr7	7p	50200000	55399999	7836	54583	62419	0.14356118205302	-0.00399824628083353
241	chr7	7q	153900000	159099999	9020	59654	68674	0.151205283803266	0.00364585546941179
242	chr7	7q	148900000	153899999	8578	56413	64991	0.152057149947707	0.00449772161385337
243	chr7	7q	143800000	148899999	7551	52225	59776	0.144585926280517	-0.00297350205333671
244	chr7	7q	138200000	143799999	6750	43816	50566	0.154053313857951	0.00649388552409771
245	chr7	7q	133200000	138199999	8193	54875	63068	0.149302961275626	0.00174353294177271
246	chr7	7q	128000000	133199999	7691	51879	59570	0.148248809730334	0.000689381396480337
247	chr7	7q	123000000	127999999	7678	52115	59793	0.147328024561067	-0.000231403772786853
248	chr7	7q	118000000	122999999	7137	50941	58078	0.140103256708741	-0.00745617162511222
249	chr7	7q	113000000	117999999	7420	52910	60330	0.14023814023814	-0.00732128809571347
250	chr7	7q	108000000	112999999	7333	51668	59001	0.14192536966788	-0.00563405866597419
251	chr7	7q	103000000	107999999	8056	55006	63062	0.146456750172708	-0.00110267816114529
252	chr7	7q	97700000	102999999	7900	48793	56693	0.161908470477323	0.0143490421434689
253	chr7	7q	92700000	97699999	7672	54135	61807	0.14171977463748	-0.00583965369637335
254	chr7	7q	87700000	92699999	7705	51806	59511	0.148727946569895	0.00116851823604167
255	chr7	7q	82700000	87699999	7306	50222	57528	0.14547409501812	-0.00208533331573416
256	chr7	7q	77700000	82699999	7126	52227	59353	0.136442836080954	-0.0111165922528994
257	chr7	7q	71500000	77699999	3530	22464	25994	0.157140313390313	0.00958088505645968
258	chr7	7q	66500000	71499999	8367	58665	67032	0.142623369982102	-0.00493605835175195
259	chr8	8p	100000	5099999	7010	49277	56287	0.142257036751426	-0.0053023915824281
260	chr8	8p	5100000	11099999	8700	60783	69483	0.143132125758847	-0.00442730257500668
261	chr8	8p	11100000	16599999	8193	56950	65143	0.143863037752414	-0.00369639058143931
262	chr8	8p	16600000	21599999	8380	58200	66580	0.143986254295533	-0.00357317403832108
263	chr8	8p	21600000	26599999	8462	57510	65972	0.147139627890802	-0.000419800443052121
264	chr8	8p	26600000	31599999	8599	57260	65859	0.150174641983933	0.00261521365007922
265	chr8	8p	31600000	36599999	7640	53350	60990	0.143205248359888	-0.00435417997396617
266	chr8	8p	36600000	41599999	8294	57591	65885	0.144015557986491	-0.00354387034736278
267	chr8	8q	140900000	146299999	8138	53142	61280	0.153136878551805	0.00557745021795089
268	chr8	8q	135900000	140899999	8116	57882	65998	0.140216302131924	-0.00734312620193014
269	chr8	8q	130900000	135899999	8332	57238	65570	0.145567629896223	-0.00199179843763092
270	chr8	8q	125900000	130899999	8413	57064	65477	0.14743095471751	-0.00012847361634355
271	chr8	8q	120900000	125899999	8259	56194	64453	0.146972986439833	-0.000586441894020268
272	chr8	8q	115900000	120899999	7798	55073	62871	0.141593884480598	-0.00596554385325523
273	chr8	8q	110900000	115899999	6977	48698	55675	0.143270770873547	-0.00428865746030654
274	chr8	8q	105900000	110899999	7575	54071	61646	0.140093580662462	-0.00746584767139138
275	chr8	8q	100900000	105899999	8237	56611	64848	0.145501757608945	-0.00205767072490845
276	chr8	8q	95900000	100899999	8024	55318	63342	0.145052243392747	-0.00250718494110633
277	chr8	8q	90900000	95899999	7598	54158	61756	0.140293216145352	-0.00726621218850124
278	chr8	8q	85600000	90899999	7522	52149	59671	0.144240541525245	-0.00331888680860876
279	chr8	8q	80600000	85599999	7526	52246	59772	0.144049305209968	-0.00351012312388549
280	chr8	8q	75600000	80599999	7050	50384	57434	0.139925373134328	-0.00763405519952537
281	chr8	8q	70600000	75599999	7861	54989	62850	0.142955863900053	-0.00460356443380097
282	chr8	8q	65600000	70599999	7778	54104	61882	0.143760165606979	-0.00379926272687456
283	chr8	8q	60600000	65599999	7713	54466	62179	0.141611280431829	-0.00594814790202469
284	chr8	8q	55600000	60599999	8123	55213	63336	0.147121149004763	-0.000438279329090352
285	chr8	8q	50600000	55599999	7554	53258	60812	0.141837845957415	-0.00572158237643886
286	chr9	9p	200000	5199999	7999	55805	63804	0.14333841053669	-0.00422101779716347
287	chr9	9p	5200000	10199999	7601	51949	59550	0.14631657972242	-0.00124284861143364
288	chr9	9p	10200000	15199999	7560	51754	59314	0.146075665649032	-0.00148376268482175
289	chr9	9p	15200000	20199999	8089	55871	63960	0.144779939503499	-0.00277948883035459
290	chr9	9p	20200000	25199999	7722	51457	59179	0.150067046271644	0.00250761793779056
291	chr9	9p	25200000	30199999	7581	50981	58562	0.148702457778388	0.00114302944453432
292	chr9	9p	30200000	35199999	7885	53006	60891	0.148756744519488	0.00119731618563465
293	chr9	9q	135800000	141099999	8513	55826	64339	0.152491670547773	0.00493224221391972
294	chr9	9q	130500000	135799999	9275	58285	67560	0.159131852106031	0.011572423772177
295	chr9	9q	125500000	130499999	8850	58157	67007	0.152174286844232	0.00461485851037827
296	chr9	9q	120500000	125499999	8242	56700	64942	0.145361552028219	-0.00219787630563503
297	chr9	9q	115500000	120499999	8605	59072	67677	0.145669691224269	-0.00188973710958504
298	chr9	9q	110500000	115499999	8464	57384	65848	0.147497560295553	-6.18680383009385e-05
299	chr9	9q	105500000	110499999	7984	55425	63409	0.14405051871899	-0.00350890961486408
300	chr9	9q	100500000	105499999	8192	56494	64686	0.145006549368074	-0.00255287896577924
301	chr9	9q	95500000	100499999	8471	56853	65324	0.148998293845531	0.00143886551167774
302	chr9	9q	90100000	95499999	8539	58087	66626	0.147003632482311	-0.000555795851542695
303	chr9	9q	85100000	90099999	8109	56883	64992	0.142555772374875	-0.00500365595897898
304	chr9	9q	80100000	85099999	7873	54551	62424	0.144323660427856	-0.00323576790599722
305	chr9	9q	75100000	80099999	7893	54409	62302	0.145067911558749	-0.00249151677510423
306	chr10	10p	100000	5099999	7925	55149	63074	0.143701608370052	-0.00385781996380166
307	chr10	10p	5100000	10099999	7660	52312	59972	0.14642911760208	-0.00113031073177389
308	chr10	10p	10100000	15099999	8633	57501	66134	0.150136519364881	0.00257709103102691
309	chr10	10p	15100000	20499999	7498	52787	60285	0.142042548354709	-0.00551687997914516
310	chr10	10p	20500000	25499999	8086	56461	64547	0.14321389986008	-0.00434552847377331
311	chr10	10p	25500000	30499999	8211	54061	62272	0.151883982908196	0.00432455457434258
312	chr10	10p	30500000	35499999	8401	55892	64293	0.150307736348672	0.00274830801481873
313	chr10	10q	130100000	135499999	8977	62884	71861	0.142754913809554	-0.00480451452429961
314	chr10	10q	124700000	130099999	9351	63527	72878	0.147197254710595	-0.000362173623258216
315	chr10	10q	119700000	124699999	8413	59241	67654	0.142013132796543	-0.00554629553731079
316	chr10	10q	114700000	119699999	6578	45143	51721	0.145714728750858	-0.00184469958299532
317	chr10	10q	109700000	114699999	8164	55745	63909	0.146452596645439	-0.00110683168841466
318	chr10	10q	104700000	109699999	8174	55656	63830	0.146866465430502	-0.000692962903352051
