bin	chromosome	arm	start	end	gc
212	chr6	6q	150400000	155399999	0.4014036
213	chr6	6q	145400000	150399999	0.394586
214	chr6	6q	140400000	145399999	0.3747312
215	chr6	6q	135400000	140399999	0.396351
216	chr6	6q	130400000	135399999	0.3875696
217	chr6	6q	125400000	130399999	0.3702334
218	chr6	6q	120400000	125399999	0.362813
219	chr6	6q	115400000	120399999	0.3767684
220	chr6	6q	110400000	115399999	0.3867118
221	chr6	6q	105400000	110399999	0.4109
222	chr6	6q	100400000	105399999	0.356081
223	chr6	6q	95100000	100399999	0.3674184
224	chr6	6q	90100000	95099999	0.3693066
225	chr6	6q	85100000	90099999	0.3919162
226	chr6	6q	80100000	85099999	0.3730822
227	chr6	6q	75100000	80099999	0.3686798
228	chr6	6q	70100000	75099999	0.3796522
229	chr6	6q	65100000	70099999	0.346395
230	chr7	7p	100000	5199999	0.5074664
231	chr7	7p	5200000	10199999	0.4130868
232	chr7	7p	10200000	15199999	0.3603656
233	chr7	7p	15200000	20199999	0.36582
234	chr7	7p	20200000	25199999	0.3984662
235	chr7	7p	25200000	30199999	0.4121218
236	chr7	7p	30200000	35199999	0.4088338
237	chr7	7p	35200000	40199999	0.4041436
238	chr7	7p	40200000	45199999	0.423083
239	chr7	7p	45200000	50199999	0.4058438
240	chr7	7p	50200000	55399999	0.3944448
241	chr7	7q	153900000	159099999	0.4699386
242	chr7	7q	148900000	153899999	0.4503552
243	chr7	7q	143800000	148899999	0.3842624
244	chr7	7q	138200000	143799999	0.4245162
245	chr7	7q	133200000	138199999	0.3966722
246	chr7	7q	128000000	133199999	0.4346556
247	chr7	7q	123000000	127999999	0.3777274
248	chr7	7q	118000000	122999999	0.3586646
249	chr7	7q	113000000	117999999	0.3674852
250	chr7	7q	108000000	112999999	0.3703622
251	chr7	7q	103000000	107999999	0.4016698
252	chr7	7q	97700000	102999999	0.4753284
253	chr7	7q	92700000	97699999	0.3818248
254	chr7	7q	87700000	92699999	0.3742598
255	chr7	7q	82700000	87699999	0.3554364
256	chr7	7q	77700000	82699999	0.3601436
257	chr7	7q	71500000	77699999	0.458595
258	chr7	7q	66500000	71499999	0.4314426
259	chr8	8p	100000	5099999	0.4234096
260	chr8	8p	5100000	11099999	0.42606
261	chr8	8p	11100000	16599999	0.386763
262	chr8	8p	16600000	21599999	0.4128754
263	chr8	8p	21600000	26599999	0.4331728
264	chr8	8p	26600000	31599999	0.419171
265	chr8	8p	31600000	36599999	0.3861352
266	chr8	8p	36600000	41599999	0.420813
267	chr8	8q	140900000	146299999	0.5228864
268	chr8	8q	135900000	140899999	0.4121856
269	chr8	8q	130900000	135899999	0.420836
270	chr8	8q	125900000	130899999	0.4058422
271	chr8	8q	120900000	125899999	0.404707
272	chr8	8q	115900000	120899999	0.383986
273	chr8	8q	110900000	115899999	0.3442996
274	chr8	8q	105900000	110899999	0.370108
275	chr8	8q	100900000	105899999	0.4058804
276	chr8	8q	95900000	100899999	0.4012602
277	chr8	8q	90900000	95899999	0.3830626
278	chr8	8q	85600000	90899999	0.3677542
279	chr8	8q	80600000	85599999	0.3721718
280	chr8	8q	75600000	80599999	0.3557622
281	chr8	8q	70600000	75599999	0.3930652
282	chr8	8q	65600000	70599999	0.3897762
283	chr8	8q	60600000	65599999	0.383316
284	chr8	8q	55600000	60599999	0.3911444
285	chr8	8q	50600000	55599999	0.3871312
286	chr9	9p	200000	5199999	0.4000776
287	chr9	9p	5200000	10199999	0.3825176
288	chr9	9p	10200000	15199999	0.3655248
289	chr9	9p	15200000	20199999	0.395361
290	chr9	9p	20200000	25199999	0.369984
291	chr9	9p	25200000	30199999	0.3673508
292	chr9	9p	30200000	35199999	0.4043604
293	chr9	9q	135800000	141099999	0.5473774
294	chr9	9q	130500000	135799999	0.5003138
295	chr9	9q	125500000	130499999	0.451336
296	chr9	9q	120500000	125499999	0.415934
297	chr9	9q	115500000	120499999	0.4266228
298	chr9	9q	110500000	115499999	0.4080908
299	chr9	9q	105500000	110499999	0.3872854
300	chr9	9q	100500000	105499999	0.4039014
301	chr9	9q	95500000	100499999	0.4406158
302	chr9	9q	90100000	95499999	0.4331256
303	chr9	9q	85100000	90099999	0.405259
304	chr9	9q	80100000	85099999	0.3901088
305	chr9	9q	75100000	80099999	0.384188
306	chr10	10p	100000	5099999	0.429721
307	chr10	10p	5100000	10099999	0.4108
308	chr10	10p	10100000	15099999	0.4306902
309	chr10	10p	15100000	20499999	0.3933276
310	chr10	10p	20500000	25499999	0.4028726
311	chr10	10p	25500000	30499999	0.4061476
312	chr10	10p	30500000	35499999	0.4085964
313	chr10	10q	130100000	135499999	0.4887602
314	chr10	10q	124700000	130099999	0.4481134
315	chr10	10q	119700000	124699999	0.4342114
316	chr10	10q	114700000	119699999	0.4158488
317	chr10	10q	109700000	114699999	0.401461
318	chr10	10q	104700000	109699999	0.4064238
319	chr10	10q	99700000	104699999	0.4441414
320	chr10	10q	94700000	99699999	0.4267374
321	chr10	10q	89700000	94699999	0.3921378
322	chr10	10q	84500000	89699999	0.4085956
323	chr10	10q	79400000	84499999	0.4301878
324	chr10	10q	74400000	79399999	0.417777
325	chr10	10q	69400000	74399999	0.4610322
326	chr10	10q	64400000	69399999	0.3714486
327	chr10	10q	59400000	64399999	0.3829318
328	chr10	10q	54400000	59399999	0.35179
329	chr10	10q	47600000	54399999	0.411846
330	chr11	11p	100000	5299999	0.4942834
331	chr11	11p	5300000	10299999	0.4153252
332	chr11	11p	10300000	15299999	0.420422
333	chr11	11p	15300000	20299999	0.4226226
334	chr11	11p	20300000	25299999	0.3665464
335	chr11	11p	25300000	30299999	0.3711
336	chr11	11p	30300000	35299999	0.4048692
337	chr11	11p	35300000	40299999	0.3786544
338	chr11	11p	40300000	45299999	0.4045196
339	chr11	11p	45300000	50399999	0.4252432
340	chr11	11q	129900000	134899999	0.4386338
341	chr11	11q	124900000	129899999	0.4266574
342	chr11	11q	119900000	124899999	0.4228256
343	chr11	11q	114900000	119899999	0.4621302
344	chr11	11q	109900000	114899999	0.4182322
345	chr11	11q	104900000	109899999	0.379186
346	chr11	11q	99900000	104899999	0.3760288
347	chr11	11q	94600000	99899999	0.3669764
348	chr11	11q	89300000	94599999	0.3833036
349	chr11	11q	84100000	89299999	0.3792998
350	chr11	11q	79100000	84099999	0.377989
351	chr11	11q	74100000	79099999	0.4424454
352	chr11	11q	68800000	74099999	0.476011
353	chr11	11q	63800000	68799999	0.5083302
354	chr11	11q	58800000	63799999	0.4532732
355	chr12	12p	200000	5199999	0.4501696
356	chr12	12p	5200000	10499999	0.4343324
357	chr12	12p	10500000	15499999	0.4018552
358	chr12	12p	15500000	20499999	0.370227
359	chr12	12p	20500000	25499999	0.3709722
360	chr12	12p	25500000	30499999	0.3870686
361	chr12	12q	128500000	133799999	0.4765846
362	chr12	12q	123500000	128499999	0.448409
363	chr12	12q	118400000	123499999	0.4592
364	chr12	12q	113400000	118399999	0.4515218
365	chr12	12q	108200000	113399999	0.4567716
366	chr12	12q	103200000	108199999	0.4172402
367	chr12	12q	98200000	103199999	0.393141
368	chr12	12q	93200000	98199999	0.4061892
369	chr12	12q	88200000	93199999	0.3705608
370	chr12	12q	83200000	88199999	0.351041
371	chr12	12q	78200000	83199999	0.3601972
372	chr12	12q	73200000	78199999	0.3671222
373	chr12	12q	68200000	73199999	0.3859312
374	chr12	12q	63200000	68199999	0.393644
375	chr12	12q	58200000	63199999	0.3703538
376	chr12	12q	53200000	58199999	0.4558228
377	chr12	12q	48200000	53199999	0.4574216
378	chr12	12q	43200000	48199999	0.3843276
379	chr12	12q	38200000	43199999	0.3753412
380	chr13	13q	109400000	115099999	0.45972
381	chr13	13q	104400000	109399999	0.3742478
382	chr13	13q	99400000	104399999	0.3996666
383	chr13	13q	94400000	99399999	0.4034422
384	chr13	13q	89400000	94399999	0.3567786
385	chr13	13q	84100000	89399999	0.3466512
386	chr13	13q	79100000	84099999	0.3600742
387	chr13	13q	74100000	79099999	0.3767266
388	chr13	13q	69100000	74099999	0.3532386
389	chr13	13q	64100000	69099999	0.3464292
390	chr13	13q	59100000	64099999	0.3586914
391	chr13	13q	54100000	59099999	0.347576
392	chr13	13q	49100000	54099999	0.4066
393	chr13	13q	44100000	49099999	0.4020118
394	chr13	13q	39100000	44099999	0.3961894
395	chr13	13q	34100000	39099999	0.3774848
396	chr13	13q	29100000	34099999	0.410969
397	chr13	13q	24100000	29099999	0.4216226
398	chr14	14q	102200000	107199999	0.49831
399	chr14	14q	97200000	102199999	0.455317
400	chr14	14q	92200000	97199999	0.4519802
401	chr14	14q	87200000	92199999	0.4181596
402	chr14	14q	82200000	87199999	0.3617566
403	chr14	14q	77200000	82199999	0.4104378
404	chr14	14q	72200000	77199999	0.4441412
405	chr14	14q	67200000	72199999	0.4199426
406	chr14	14q	62200000	67199999	0.4058712
407	chr14	14q	57200000	62199999	0.3951402
408	chr14	14q	52200000	57199999	0.403064
409	chr14	14q	47200000	52199999	0.3810106
410	chr14	14q	42200000	47199999	0.3561986
411	chr14	14q	37200000	42199999	0.3684406
412	chr14	14q	32200000	37199999	0.3986132
413	chr14	14q	27200000	32199999	0.366158
414	chr14	14q	22200000	27199999	0.4140362
415	chr15	15q	97400000	102399999	0.4265482
416	chr15	15q	92400000	97399999	0.4078714
417	chr15	15q	87400000	92399999	0.4402398
418	chr15	15q	81600000	87399999	0.4200578
419	chr15	15q	76600000	81599999	0.442921
420	chr15	15q	71600000	76599999	0.453013
421	chr15	15q	66600000	71599999	0.4437354
422	chr15	15q	61600000	66599999	0.4346324
423	chr15	15q	56600000	61599999	0.4066472
424	chr15	15q	51600000	56599999	0.3933334
425	chr15	15q	46600000	51599999	0.387563
426	chr15	15q	41600000	46599999	0.431281
427	chr15	15q	36600000	41599999	0.4074276
428	chr15	15q	31200000	36599999	0.407022
429	chr15	15q	25100000	31199999	0.4239186
430	chr16	16p	100000	5099999	0.5409338
431	chr16	16p	5100000	10199999	0.4302436
432	chr16	16p	10200000	15599999	0.4524172
433	chr16	16p	15600000	21599999	0.4421002
434	chr16	16p	21600000	26799999	0.433871
435	chr16	16p	26800000	32599999	0.480866
436	chr16	16q	85000000	90199999	0.527116
437	chr16	16q	80000000	84999999	0.446869
438	chr16	16q	75000000	79999999	0.4149016
439	chr16	16q	69700000	74999999	0.4373924
440	chr16	16q	64700000	69699999	0.4539034
441	chr16	16q	59700000	64699999	0.3649714
442	chr16	16q	54700000	59699999	0.4438898
443	chr16	16q	49700000	54699999	0.426031
444	chr17	17p	1	5199999	0.492725308067081
445	chr17	17p	5200000	10199999	0.4716648
446	chr17	17p	10200000	15199999	0.4135004
447	chr17	17p	15200000	20699999	0.4691294
448	chr17	17q	76000000	81195210	0.534809042280829
449	chr17	17q	71000000	75999999	0.5046344
450	chr17	17q	66000000	70999999	0.4040878
451	chr17	17q	60900000	65999999	0.436056
452	chr17	17q	55900000	60899999	0.4246326
453	chr17	17q	50900000	55899999	0.3991526
454	chr17	17q	45900000	50899999	0.4484778
455	chr17	17q	40600000	45899999	0.4747212
456	chr17	17q	35600000	40599999	0.4702962
457	chr17	17q	30300000	35599999	0.4446038
458	chr17	17q	25300000	30299999	0.4468666
459	chr18	18p	100000	5099999	0.3934312
460	chr18	18p	5100000	10099999	0.4116484
461	chr18	18q	72900000	77999999	0.4470734
462	chr18	18q	67700000	72899999	0.3804188
463	chr18	18q	62700000	67699999	0.3520492
464	chr18	18q	57700000	62699999	0.3856262
465	chr18	18q	52700000	57699999	0.4118776
466	chr18	18q	47400000	52699999	0.3944766
467	chr18	18q	42400000	47399999	0.4386584
468	chr18	18q	37400000	42399999	0.3672742
469	chr18	18q	32400000	37399999	0.400943
470	chr18	18q	27400000	32399999	0.3699346
471	chr18	18q	22400000	27399999	0.377569
472	chr19	19p	200000	5199999	0.5606782
473	chr19	19p	5200000	10499999	0.4955336
474	chr19	19p	10500000	15499999	0.4955894
475	chr19	19p	15500000	20499999	0.5036408
476	chr19	19q	54100000	59099999	0.4796226
477	chr19	19q	49100000	54099999	0.4855812
478	chr19	19q	44100000	49099999	0.4904114
479	chr19	19q	39100000	44099999	0.4832772
480	chr19	19q	34100000	39099999	0.4688288
481	chr19	19q	29100000	34099999	0.456065
482	chr20	20p	100000	5099999	0.4552604
483	chr20	20p	5100000	10099999	0.3927086
484	chr20	20p	10100000	15099999	0.3890904
485	chr20	20p	15100000	20099999	0.4183448
486	chr20	20p	20100000	25099999	0.4314374
487	chr20	20q	57600000	62899999	0.5030666
488	chr20	20q	52600000	57599999	0.436781
489	chr20	20q	47600000	52599999	0.450815
490	chr20	20q	42600000	47599999	0.4629834
491	chr20	20q	37600000	42599999	0.428979
492	chr20	20q	32400000	37599999	0.4629324
493	chr21	21q	42800000	48099999	0.5090472
494	chr21	21q	37800000	42799999	0.4290754
495	chr21	21q	32800000	37799999	0.4339382
496	chr21	21q	27800000	32799999	0.3794704
497	chr21	21q	22800000	27799999	0.3603402
498	chr21	21q	17800000	22799999	0.360244
499	chr22	22q	46000000	51199999	0.5053008
500	chr22	22q	41000000	45999999	0.4968458
501	chr22	22q	36000000	40999999	0.4907848
502	chr22	22q	31000000	35999999	0.450201
503	chr22	22q	26000000	30999999	0.4555756
504	chr22	22q	20700000	25999999	0.4853482
