CHR	TSS	Gene-Symbol	Category	Strand	TS_ID
chr1	1588935	CDK11B	WGS	-1	CDK11B
chr1	1624083	SLC35E2B	WGS	-1	SLC35E2B
chr1	1655763	CDK11A	WGS	-1	CDK11A
chr1	1677431	SLC35E2	WGS	-1	SLC35E2
chr1	1709909	NADK	WGS	-1	NADK
chr1	1822495	GNB1	WGS	-1	GNB1
chr1	1846266	CALML6	WGS	1	CALML6
chr1	1850712	TMEM52	WGS	-1	TMEM52
chr1	1887154	C1orf222	WGS	-1	C1orf222
chr1	1950780	GABRD	WGS	1	GABRD
chr1	1981909	PRKCZ	WGS	1	PRKCZ
chr1	2126213	C1orf86	WGS	-1	C1orf86
chr1	2121237	AL590822.2	WGS	1	AL590822.2
chr1	2145620	AL590822.1	WGS	-1	AL590822.1
chr1	2160134	SKI	WGS	1	SKI
chr1	2323146	MORN1	WGS	-1	MORN1
chr1	2258581	AL589739.1	WGS	1	AL589739.1
chr1	2323272	RER1	WGS	1	RER1
chr1	2343969	PEX10	WGS	-1	PEX10
chr1	2398898	PLCH2	WGS	1	PLCH2
chr1	2458039	PANK4	WGS	-1	PANK4
chr1	2461684	HES5	WGS	-1	HES5
chr1	2487805	TNFRSF14	WGS	1	TNFRSF14
chr1	2518214	FAM213B	WGS	1	FAM213B
chr1	2564429	MMEL1	WGS	-1	MMEL1
chr1	2706236	TTC34	WGS	-1	TTC34
chr1	2938046	ACTRT2	WGS	1	ACTRT2
chr1	2985775	PRDM16	WGS	1	PRDM16
chr1	3370990	ARHGEF16	WGS	1	ARHGEF16
chr1	3528059	MEGF6	WGS	-1	MEGF6
chr1	3541566	TPRG1L	WGS	1	TPRG1L
chr1	3566637	WRAP73	WGS	-1	WRAP73
chr1	3569084	TP73	WGS	1	TP73
chr1	3668962	CCDC27	WGS	1	CCDC27
chr1	3689352	SMIM1	WGS	1	SMIM1
chr1	3713068	LRRC47	WGS	-1	LRRC47
chr1	3773763	CEP104	WGS	-1	CEP104
chr1	3773845	DFFB	WGS	1	DFFB
chr1	3816849	C1orf174	WGS	-1	C1orf174
chr1	4715105	AJAP1	WGS	1	AJAP1
chr1	6052531	NPHP4	WGS	-1	NPHP4
chr1	6105981	KCNAB2	WGS	1	KCNAB2
chr1	6101399	AL035406.1	WGS	-1	AL035406.1
chr1	6240183	CHD5	WGS	-1	CHD5
chr1	6259672	RPL22	WGS	-1	RPL22
chr1	6266236	RNF207	WGS	1	RNF207
chr1	6296000	ICMT	WGS	-1	ICMT
chr1	6304252	HES3	WGS	1	HES3
chr1	6321035	GPR153	WGS	-1	GPR153
chr1	6445873	ACOT7	WGS	-1	ACOT7
chr1	6479979	HES2	WGS	-1	HES2
chr1	6484848	ESPN	WGS	1	ESPN
chr1	6526235	TNFRSF25	WGS	-1	TNFRSF25
chr1	6557156	PLEKHG5	WGS	-1	PLEKHG5
chr1	6614595	NOL9	WGS	-1	NOL9
chr1	6615241	TAS1R1	WGS	1	TAS1R1
chr1	6640108	ZBTB48	WGS	1	ZBTB48
chr1	6662929	KLHL21	WGS	-1	KLHL21
chr1	6673745	PHF13	WGS	1	PHF13
chr1	6684926	THAP3	WGS	1	THAP3
chr1	6761984	DNAJC11	WGS	-1	DNAJC11
chr1	6845384	CAMTA1	WGS	1	CAMTA1
chr1	7831329	VAMP3	WGS	1	VAMP3
chr1	7844763	PER3	WGS	1	PER3
chr1	7913491	UTS2	WGS	-1	UTS2
chr1	8000926	TNFRSF9	WGS	-1	TNFRSF9
chr1	8021752	PARK7	WGS	1	PARK7
chr1	8086368	ERRFI1	WGS	-1	ERRFI1
chr1	8377886	SLC45A1	WGS	1	SLC45A1
chr1	8877524	RERE	WGS	-1	RERE
chr1	8938749	ENO1	WGS	-1	ENO1
chr1	9005946	CA6	WGS	1	CA6
chr1	9086404	SLC2A7	WGS	-1	SLC2A7
chr1	9129775	SLC2A5	WGS	-1	SLC2A5
chr1	9189229	GPR157	WGS	-1	GPR157
chr1	9294834	H6PD	WGS	1	H6PD
chr1	9352939	SPSB1	WGS	1	SPSB1
chr1	9599541	SLC25A33	WGS	1	SLC25A33
chr1	9648980	TMEM201	WGS	1	TMEM201
chr1	9711803	PIK3CD	WGS	1	PIK3CD
chr1	9714644	C1orf200	WGS	-1	C1orf200
chr1	9884584	CLSTN1	WGS	-1	CLSTN1
chr1	9970321	CTNNBIP1	WGS	-1	CTNNBIP1
chr1	10003387	LZIC	WGS	-1	LZIC
chr1	10003486	NMNAT1	WGS	1	NMNAT1
chr1	10057274	RBP7	WGS	1	RBP7
chr1	10093654	UBE4B	WGS	1	UBE4B
chr1	10270863	KIF1B	WGS	1	KIF1B
chr1	10459137	PGD	WGS	1	PGD
chr1	10490159	APITD1	WGS	1	APITD1
chr1	10490159	APITD1-CORT	WGS	1	APITD1-CORT
chr1	10509776	CORT	WGS	1	CORT
chr1	10532583	DFFA	WGS	-1	DFFA
chr1	10534944	PEX14	WGS	1	PEX14
chr1	10856705	CASZ1	WGS	-1	CASZ1
chr1	11042094	C1orf127	WGS	-1	C1orf127
chr1	11072699	TARDBP	WGS	1	TARDBP
chr1	11107280	MASP2	WGS	-1	MASP2
chr1	11120081	SRM	WGS	-1	SRM
chr1	11159938	EXOSC10	WGS	-1	EXOSC10
chr1	11322564	MTOR	WGS	-1	MTOR
chr1	11249398	ANGPTL7	WGS	1	ANGPTL7
chr1	11333263	UBIAD1	WGS	1	UBIAD1
chr1	11539295	PTCHD2	WGS	1	PTCHD2
chr1	11714739	FBXO2	WGS	-1	FBXO2
chr1	11714914	FBXO44	WGS	1	FBXO44
chr1	11724181	FBXO6	WGS	1	FBXO6
chr1	11751707	MAD2L2	WGS	-1	MAD2L2
chr1	11751786	DRAXIN	WGS	1	DRAXIN
chr1	11796212	AGTRAP	WGS	1	AGTRAP
chr1	11821844	C1orf167	WGS	1	C1orf167
chr1	11863302	MTHFR	WGS	-1	MTHFR
chr1	11866268	CLCN6	WGS	1	CLCN6
chr1	11907840	NPPA	WGS	-1	NPPA
chr1	11918988	NPPB	WGS	-1	NPPB
chr1	11986480	KIAA2013	WGS	-1	KIAA2013
chr1	11994810	PLOD1	WGS	1	PLOD1
chr1	12040369	MFN2	WGS	1	MFN2
chr1	12079523	MIIP	WGS	1	MIIP
chr1	12123434	TNFRSF8	WGS	1	TNFRSF8
chr1	12227060	TNFRSF1B	WGS	1	TNFRSF1B
chr1	12290124	VPS13D	WGS	1	VPS13D
chr1	12677737	DHRS3	WGS	-1	DHRS3
chr1	12704566	AADACL4	WGS	1	AADACL4
chr1	12776146	AADACL3	WGS	1	AADACL3
chr1	12806163	C1orf158	WGS	1	C1orf158
chr1	12834984	PRAMEF12	WGS	1	PRAMEF12
chr1	12851546	PRAMEF1	WGS	1	PRAMEF1
chr1	12891264	PRAMEF11	WGS	-1	PRAMEF11
chr1	12908578	HNRNPCL1	WGS	-1	HNRNPCL1
chr1	12916941	PRAMEF2	WGS	1	PRAMEF2
chr1	12946025	PRAMEF4	negativeControl	-1	PRAMEF4
chr1	12958101	PRAMEF10	WGS	-1	PRAMEF10
chr1	12976450	PRAMEF7	negativeControl	1	PRAMEF7
chr1	13007420	PRAMEF6	negativeControl	-1	PRAMEF6
chr1	13035543	PRAMEF22	WGS	1	PRAMEF22
chr1	13052998	WI2-3308P17.2	WGS	-1	WI2-3308P17.2
chr1	13219581	PRAMEF26	WGS	-1	PRAMEF26
chr1	13331692	PRAMEF3	WGS	-1	PRAMEF3
chr1	13359819	PRAMEF5	negativeControl	1	PRAMEF5
chr1	13390765	PRAMEF8	negativeControl	-1	PRAMEF8
chr1	13421176	PRAMEF9	negativeControl	1	PRAMEF9
chr1	13452656	PRAMEF13	WGS	-1	PRAMEF13
chr1	13477522	PRAMEF18	negativeControl	-1	PRAMEF18
chr1	13495254	PRAMEF16	WGS	1	PRAMEF16
chr1	13516066	PRAMEF21	WGS	1	PRAMEF21
chr1	13641973	PRAMEF15	negativeControl	1	PRAMEF15
chr1	13673511	PRAMEF14	WGS	-1	PRAMEF14
chr1	13698405	PRAMEF19	negativeControl	-1	PRAMEF19
chr1	13716092	PRAMEF17	negativeControl	1	PRAMEF17
chr1	13736907	PRAMEF20	negativeControl	1	PRAMEF20
chr1	13840543	LRRC38	WGS	-1	LRRC38
chr1	13909960	PDPN	WGS	1	PDPN
chr1	14031350	PRDM2	WGS	1	PRDM2
chr1	14925200	KAZN	WGS	1	KAZN
chr1	15479028	TMEM51	WGS	1	TMEM51
chr1	15497813	C1orf195	WGS	-1	C1orf195
chr1	15632276	FHAD1	WGS	1	FHAD1
chr1	15736391	EFHD2	WGS	1	EFHD2
chr1	15764935	CTRC	WGS	1	CTRC
chr1	15783224	CELA2A	WGS	1	CELA2A
chr1	15802596	CELA2B	WGS	1	CELA2B
chr1	15850790	CASP9	WGS	-1	CASP9
chr1	15853308	DNAJC16	WGS	1	DNAJC16
chr1	15911605	AGMAT	WGS	-1	AGMAT
chr1	15943995	DDI2	WGS	1	DDI2
chr1	15986364	RSC1A1	WGS	1	RSC1A1
chr1	16010827	PLEKHM2	WGS	1	PLEKHM2
chr1	16062900	SLC25A34	WGS	1	SLC25A34
chr1	16068917	TMEM82	WGS	1	TMEM82
chr1	16090994	FBLIM1	WGS	1	FBLIM1
chr1	16174359	SPEN	WGS	1	SPEN
chr1	16302621	ZBTB17	WGS	-1	ZBTB17
chr1	16330731	C1orf64	WGS	1	C1orf64
chr1	16345285	HSPB7	WGS	-1	HSPB7
chr1	16348547	CLCNKA	WGS	1	CLCNKA
chr1	16370272	CLCNKB	WGS	1	CLCNKB
chr1	16400121	FAM131C	WGS	-1	FAM131C
chr1	16482582	EPHA2	WGS	-1	EPHA2
chr1	16539104	ARHGEF19	WGS	-1	ARHGEF19
chr1	16556038	C1orf134	WGS	-1	C1orf134
chr1	16563657	RSG1	WGS	-1	RSG1
chr1	16678949	FBXO42	WGS	-1	FBXO42
chr1	16693578	SZRD1	WGS	1	SZRD1
chr1	16763919	SPATA21	WGS	-1	SPATA21
chr1	16767231	NECAP2	WGS	1	NECAP2
chr1	16865561	FAM231B	WGS	1	FAM231B
chr1	16939982	NBPF1	WGS	-1	NBPF1
chr1	16999498	FAM231A	WGS	1	FAM231A
chr1	17060956	FAM231C	WGS	-1	FAM231C
chr1	17248445	CROCC	WGS	1	CROCC
chr1	17307330	MFAP2	WGS	-1	MFAP2
chr1	17338267	ATP13A2	WGS	-1	ATP13A2
chr1	17380665	SDHB	WGS	-1	SDHB
chr1	17445930	PADI2	WGS	-1	PADI2
chr1	17531621	PADI1	WGS	1	PADI1
chr1	17575593	PADI3	WGS	1	PADI3
chr1	17634692	PADI4	WGS	1	PADI4
chr1	17676070	AC004824.2	WGS	-1	AC004824.2
chr1	17766220	RCC2	WGS	-1	RCC2
chr1	17866330	ARHGEF10L	WGS	1	ARHGEF10L
chr1	18081808	ACTL8	WGS	1	ACTL8
chr1	18434240	IGSF21	WGS	1	IGSF21
chr1	18807424	KLHDC7A	WGS	1	KLHDC7A
chr1	18957500	PAX7	WGS	1	PAX7
chr1	19186176	TAS1R2	WGS	-1	TAS1R2
chr1	19229275	ALDH4A1	WGS	-1	ALDH4A1
chr1	19283180	IFFO2	WGS	-1	IFFO2
chr1	19536770	UBR4	WGS	-1	UBR4
chr1	19578046	EMC1	WGS	-1	EMC1
chr1	19578033	MRTO4	WGS	1	MRTO4
chr1	19600568	AKR7L	WGS	-1	AKR7L
chr1	19615744	AKR7A3	WGS	-1	AKR7A3
chr1	19638640	AKR7A2	WGS	-1	AKR7A2
chr1	19638822	PQLC2	WGS	1	PQLC2
chr1	19811979	CAPZB	WGS	-1	CAPZB
chr1	19923473	MINOS1-NBL1	WGS	1	MINOS1-NBL1
chr1	19923484	MINOS1	WGS	1	MINOS1
chr1	19969726	NBL1	WGS	1	NBL1
chr1	19991780	HTR6	WGS	1	HTR6
chr1	20126410	TMCO4	WGS	-1	TMCO4
chr1	20141771	RNF186	WGS	-1	RNF186
chr1	20209006	OTUD3	WGS	1	OTUD3
chr1	20250110	PLA2G2E	WGS	-1	PLA2G2E
chr1	20306909	PLA2G2A	WGS	-1	PLA2G2A
chr1	20396701	PLA2G5	WGS	1	PLA2G5
chr1	20446050	PLA2G2D	WGS	-1	PLA2G2D
chr1	20465819	PLA2G2F	WGS	1	PLA2G2F
chr1	20503917	PLA2G2C	WGS	-1	PLA2G2C
chr1	20512578	UBXN10	WGS	1	UBXN10
chr1	20617412	VWA5B1	WGS	1	VWA5B1
chr1	20812713	CAMK2N1	WGS	-1	CAMK2N1
chr1	20834654	MUL1	WGS	-1	MUL1
chr1	20878932	FAM43B	WGS	1	FAM43B
chr1	20915441	CDA	WGS	1	CDA
chr1	20959948	PINK1	WGS	1	PINK1
chr1	20988000	DDOST	WGS	-1	DDOST
chr1	21044510	KIF17	WGS	-1	KIF17
chr1	21059029	SH2D5	WGS	-1	SH2D5
chr1	21113181	HP1BP3	WGS	-1	HP1BP3
chr1	21503343	EIF4G3	WGS	-1	EIF4G3
chr1	21616982	ECE1	WGS	-1	ECE1
chr1	21766631	NBPF3	WGS	1	NBPF3
chr1	21835865	ALPL	WGS	1	ALPL
chr1	21978348	RAP1GAP	WGS	-1	RAP1GAP
chr1	22110099	USP48	WGS	-1	USP48
chr1	22138758	LDLRAD2	WGS	1	LDLRAD2
chr1	22263790	HSPG2	WGS	-1	HSPG2
chr1	22303514	CELA3B	WGS	1	CELA3B
chr1	22328149	CELA3A	WGS	1	CELA3A
chr1	22379161	CDC42	WGS	1	CDC42
chr1	22469459	WNT4	WGS	-1	WNT4
chr1	22778344	ZBTB40	WGS	1	ZBTB40
chr1	22890057	EPHA8	WGS	1	EPHA8
chr1	22962999	C1QA	WGS	1	C1QA
chr1	22970126	C1QC	WGS	1	C1QC
chr1	22979682	C1QB	WGS	1	C1QB
chr1	23037463	EPHB2	WGS	1	EPHB2
chr1	23291831	LACTBL1	WGS	-1	LACTBL1
chr1	23342343	C1orf234	WGS	-1	C1orf234
chr1	23345986	KDM1A	WGS	1	KDM1A
chr1	23504301	LUZP1	WGS	-1	LUZP1
chr1	23521222	HTR1D	WGS	-1	HTR1D
chr1	23670803	HNRNPR	WGS	-1	HNRNPR
chr1	23695935	ZNF436	WGS	-1	ZNF436
chr1	23695729	C1orf213	WGS	1	C1orf213
chr1	23751233	TCEA3	WGS	-1	TCEA3
chr1	23810671	ASAP3	WGS	-1	ASAP3
chr1	23857712	E2F2	WGS	-1	E2F2
chr1	23886285	ID3	WGS	-1	ID3
chr1	23953824	MDS2	WGS	1	MDS2
chr1	24018269	RPL11	WGS	1	RPL11
chr1	24069645	TCEB3	WGS	1	TCEB3
chr1	24104895	PITHD1	WGS	1	PITHD1
chr1	24117460	LYPLA2	WGS	1	LYPLA2
chr1	24126892	GALE	WGS	-1	GALE
chr1	24151949	HMGCL	WGS	-1	HMGCL
chr1	24194784	FUCA1	WGS	-1	FUCA1
chr1	24285549	CNR2	WGS	-1	CNR2
chr1	24286302	PNRC2	WGS	1	PNRC2
chr1	24306809	SRSF10	WGS	-1	SRSF10
chr1	24438665	MYOM3	WGS	-1	MYOM3
chr1	24469611	IL22RA1	WGS	-1	IL22RA1
chr1	24513751	IFNLR1	WGS	-1	IFNLR1
chr1	24645915	GRHL3	WGS	1	GRHL3
chr1	24741587	STPG1	WGS	-1	STPG1
chr1	24742284	NIPAL3	WGS	1	NIPAL3
chr1	24829387	RCAN3	WGS	1	RCAN3
chr1	24882602	NCMAP	WGS	1	NCMAP
chr1	24969503	SRRM1	WGS	1	SRRM1
chr1	25071848	CLIC4	WGS	1	CLIC4
chr1	25291501	RUNX3	WGS	-1	RUNX3
chr1	25558984	SYF2	WGS	-1	SYF2
chr1	25574010	C1orf63	WGS	-1	C1orf63
chr1	25598884	RHD	WGS	1	RHD
chr1	25664408	TMEM50A	WGS	1	TMEM50A
chr1	25747336	RHCE	WGS	-1	RHCE
chr1	25757411	TMEM57	WGS	1	TMEM57
chr1	25870071	LDLRAP1	WGS	1	LDLRAP1
chr1	25943959	MAN1C1	WGS	1	MAN1C1
chr1	26126667	SEPN1	WGS	1	SEPN1
chr1	26146684	MTFR1L	WGS	1	MTFR1L
chr1	26147288	AL020996.1	WGS	-1	AL020996.1
chr1	26185903	AUNIP	WGS	-1	AUNIP
chr1	26197744	PAQR7	WGS	-1	PAQR7
chr1	26232957	STMN1	WGS	-1	STMN1
chr1	26324648	PAFAH2	WGS	-1	PAFAH2
chr1	26348271	EXTL1	WGS	1	EXTL1
chr1	26372624	SLC30A2	WGS	-1	SLC30A2
chr1	26394124	TRIM63	WGS	-1	TRIM63
chr1	26438328	PDIK1L	WGS	1	PDIK1L
chr1	26485511	FAM110D	WGS	1	FAM110D
chr1	26496362	ZNF593	WGS	1	ZNF593
chr1	26503894	CNKSR1	WGS	1	CNKSR1
chr1	26517052	CATSPER4	WGS	1	CATSPER4
chr1	26560693	CEP85	WGS	1	CEP85
chr1	26605667	SH3BGRL3	WGS	1	SH3BGRL3
chr1	26644854	UBXN11	WGS	-1	UBXN11
chr1	26644448	CD52	WGS	1	CD52
chr1	26670576	AIM1L	WGS	-1	AIM1L
chr1	26699266	ZNF683	WGS	-1	ZNF683
chr1	26737269	LIN28A	WGS	1	LIN28A
chr1	26758846	DHDDS	WGS	1	DHDDS
chr1	26799010	HMGN2	WGS	1	HMGN2
chr1	26872343	RPS6KA1	WGS	1	RPS6KA1
chr1	27022524	ARID1A	WGS	1	ARID1A
chr1	27114686	PIGV	WGS	1	PIGV
chr1	27153201	ZDHHC18	WGS	1	ZDHHC18
chr1	27189633	SFN	WGS	1	SFN
chr1	27216788	GPN2	WGS	-1	GPN2
chr1	27226957	GPATCH3	WGS	-1	GPATCH3
chr1	27248217	NUDC	WGS	1	NUDC
chr1	27240457	NR0B2	WGS	-1	NR0B2
chr1	27286897	C1orf172	WGS	-1	C1orf172
chr1	27320198	TRNP1	WGS	1	TRNP1
chr1	27339327	FAM46B	WGS	-1	FAM46B
chr1	27481401	SLC9A1	WGS	-1	SLC9A1
chr1	27561159	WDTC1	WGS	1	WDTC1
chr1	27648651	TMEM222	WGS	1	TMEM222
chr1	27671364	SYTL1	WGS	1	SYTL1
chr1	27693383	MAP3K6	WGS	-1	MAP3K6
chr1	27701315	FCN3	WGS	-1	FCN3
chr1	27709793	CD164L2	WGS	-1	CD164L2
chr1	27719148	GPR3	WGS	1	GPR3
chr1	27816669	WASF2	WGS	-1	WASF2
chr1	27930143	AHDC1	WGS	-1	AHDC1
chr1	27961788	FGR	WGS	-1	FGR
chr1	27998689	IFI6	WGS	-1	IFI6
chr1	28052568	FAM76A	WGS	1	FAM76A
chr1	28099694	STX12	WGS	1	STX12
chr1	28157289	PPP1R8	WGS	1	PPP1R8
chr1	28177255	AL109927.1	WGS	-1	AL109927.1
chr1	28199079	THEMIS2	WGS	1	THEMIS2
chr1	28241254	RPA2	WGS	-1	RPA2
chr1	28261504	SMPDL3B	WGS	1	SMPDL3B
chr1	28285973	XKR8	WGS	1	XKR8
chr1	28415207	EYA3	WGS	-1	EYA3
chr1	28503699	PTAFR	WGS	-1	PTAFR
chr1	28559536	DNAJC8	WGS	-1	DNAJC8
chr1	28527152	AL353354.1	WGS	-1	AL353354.1
chr1	28527070	AL353354.2	WGS	1	AL353354.2
chr1	28562644	ATPIF1	WGS	1	ATPIF1
chr1	28586038	SESN2	WGS	1	SESN2
chr1	28655549	MED18	WGS	1	MED18
chr1	28764682	PHACTR4	WGS	1	PHACTR4
chr1	28844769	RCC1	WGS	1	RCC1
chr1	28879597	TRNAU1AP	WGS	1	TRNAU1AP
chr1	28969517	TAF12	WGS	-1	TAF12
chr1	28918712	RAB42	WGS	1	RAB42
chr1	28995292	GMEB1	WGS	1	GMEB1
chr1	29063271	YTHDF2	WGS	1	YTHDF2
chr1	29138654	OPRD1	WGS	1	OPRD1
chr1	29213603	EPB41	WGS	1	EPB41
chr1	29449013	TMEM200B	WGS	-1	TMEM200B
chr1	29508499	SRSF4	WGS	-1	SRSF4
chr1	29557444	MECR	WGS	-1	MECR
chr1	29563028	PTPRU	WGS	1	PTPRU
chr1	31196434	MATN1	WGS	-1	MATN1
chr1	31230667	LAPTM5	WGS	-1	LAPTM5
chr1	31381608	SDC3	WGS	-1	SDC3
chr1	31538542	PUM1	WGS	-1	PUM1
chr1	31712401	NKAIN1	WGS	-1	NKAIN1
chr1	31769617	SNRNP40	WGS	-1	SNRNP40
chr1	31769855	ZCCHC17	WGS	1	ZCCHC17
chr1	31845923	FABP3	WGS	-1	FABP3
chr1	31882412	SERINC2	WGS	1	SERINC2
chr1	31902614	AC114494.1	WGS	-1	AC114494.1
chr1	32042136	TINAGL1	WGS	1	TINAGL1
chr1	32083301	HCRTR1	WGS	1	HCRTR1
chr1	32110488	PEF1	WGS	-1	PEF1
chr1	32169920	COL16A1	WGS	-1	COL16A1
chr1	32229636	BAI2	WGS	-1	BAI2
chr1	32281652	SPOCD1	WGS	-1	SPOCD1
chr1	32403988	PTP4A2	WGS	-1	PTP4A2
chr1	32379174	AL136115.1	WGS	1	AL136115.1
chr1	32479430	KHDRBS1	WGS	1	KHDRBS1
chr1	32538503	TMEM39B	WGS	1	TMEM39B
chr1	32573639	KPNA6	WGS	1	KPNA6
chr1	32645666	TXLNA	WGS	1	TXLNA
chr1	32665987	CCDC28B	WGS	1	CCDC28B
chr1	32671236	IQCC	WGS	1	IQCC
chr1	32674695	DCDC2B	WGS	1	DCDC2B
chr1	32687926	TMEM234	WGS	-1	TMEM234
chr1	32687971	EIF3I	WGS	1	EIF3I
chr1	32712834	FAM167B	WGS	1	FAM167B
chr1	32716840	LCK	WGS	1	LCK
chr1	32757687	HDAC1	WGS	1	HDAC1
chr1	32801980	MARCKSL1	WGS	-1	MARCKSL1
chr1	32827798	TSSK3	WGS	1	TSSK3
chr1	32827844	FAM229A	WGS	-1	FAM229A
chr1	32860031	BSDC1	WGS	-1	BSDC1
chr1	32930670	ZBTB8B	WGS	1	ZBTB8B
chr1	33005028	ZBTB8A	WGS	1	ZBTB8A
chr1	33116185	ZBTB8OS	WGS	-1	ZBTB8OS
chr1	33116749	RBBP4	WGS	1	RBBP4
chr1	33168720	SYNC	WGS	-1	SYNC
chr1	33207486	KIAA1522	WGS	1	KIAA1522
chr1	33283754	YARS	WGS	-1	YARS
chr1	33283156	S100PBP	WGS	1	S100PBP
chr1	33336414	FNDC5	WGS	-1	FNDC5
chr1	33352036	HPCA	WGS	1	HPCA
chr1	33366959	TMEM54	WGS	-1	TMEM54
chr1	33430286	RNF19B	WGS	-1	RNF19B
chr1	33439268	FKSG48	WGS	1	FKSG48
chr1	33502593	AK2	WGS	-1	AK2
chr1	33546714	ADC	WGS	1	ADC
chr1	33647267	TRIM62	WGS	-1	TRIM62
chr1	33722174	ZNF362	WGS	1	ZNF362
chr1	33786699	A3GALT2	WGS	-1	A3GALT2
chr1	33841194	PHC2	WGS	-1	PHC2
chr1	33938246	ZSCAN20	WGS	1	ZSCAN20
chr1	34326101	HMGB4	WGS	1	HMGB4
chr1	34643271	C1orf94	WGS	1	C1orf94
chr1	35325417	SMIM12	WGS	-1	SMIM12
chr1	35220648	GJB5	WGS	1	GJB5
chr1	35225342	GJB4	WGS	1	GJB4
chr1	35246790	GJB3	WGS	1	GJB3
chr1	35258599	GJA4	WGS	1	GJA4
chr1	35395186	DLGAP3	WGS	-1	DLGAP3
chr1	35450954	ZMYM6NB	WGS	-1	ZMYM6NB
chr1	35497569	ZMYM6	WGS	-1	ZMYM6
chr1	35544992	ZMYM1	WGS	1	ZMYM1
chr1	35658749	SFPQ	WGS	-1	SFPQ
chr1	35734568	ZMYM4	WGS	1	ZMYM4
chr1	36023014	KIAA0319L	WGS	-1	KIAA0319L
chr1	36023409	NCDN	WGS	1	NCDN
chr1	36038971	TFAP2E	WGS	1	TFAP2E
chr1	36107445	PSMB2	WGS	-1	PSMB2
chr1	36185073	C1orf216	WGS	-1	C1orf216
chr1	36235529	CLSPN	WGS	-1	CLSPN
chr1	36273773	AGO4	WGS	1	AGO4
chr1	36348810	AGO1	WGS	1	AGO1
chr1	36396679	AGO3	WGS	1	AGO3
chr1	36549676	TEKT2	WGS	1	TEKT2
chr1	36554476	ADPRHL2	WGS	1	ADPRHL2
chr1	36590821	COL8A2	WGS	-1	COL8A2
chr1	36615070	TRAPPC3	WGS	-1	TRAPPC3
chr1	36621803	MAP7D1	WGS	1	MAP7D1
chr1	36690017	THRAP3	WGS	1	THRAP3
chr1	36771994	SH3D21	WGS	1	SH3D21
chr1	36789755	EVA1B	WGS	-1	EVA1B
chr1	36789335	RP11-268J15.5	WGS	1	RP11-268J15.5
chr1	36851485	STK40	WGS	-1	STK40
chr1	36863493	LSM10	WGS	-1	LSM10
chr1	36916052	OSCP1	WGS	-1	OSCP1
chr1	36930038	MRPS15	WGS	-1	MRPS15
chr1	36948879	CSF3R	WGS	-1	CSF3R
chr1	37499726	GRIK3	WGS	-1	GRIK3
chr1	37940153	ZC3H12A	WGS	1	ZC3H12A
chr1	37980364	MEAF6	WGS	-1	MEAF6
